Constructor,Race1con,Race2con,Race3con,Race4con,Race5con,Race6con,Race7con,Race8con,Race9con,Race10con,Race11con,Race12con,Race13con,Race14con,Race15con,Race16con,Race17con,Race18con,Race19con,Race20con,Race21con,Race22con,Race23con,Race24con,Race25con,ConFTotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRA1,BRA
Mercedes,45,44,32,49,57,0,54,65,21,70,53,52,70,40,44,47,44,53,31,69,24,45,51,0,0,1060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA3,USA
Ferrari,31,59,3,63,56,0,37,38,46,73,25,32,38,34,67,70,65,18,35,63,28,78,48,0,0,1007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABU1,ABU
Red Bull,78,95,98,108,97,0,63,96,86,112,77,95,80,101,81,54,46,64,95,45,105,84,87,0,0,1847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mclaren,-16,14,36,23,8,0,15,11,15,54,68,62,18,56,44,64,66,110,36,57,65,34,59,0,0,899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston Martin,56,19,54,55,42,0,15,40,46,63,22,21,24,67,17,4,7,47,0,-7,77,56,32,0,0,757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,8,28,11,25,28,0,42,33,24,21,-16,-35,43,66,-16,13,20,23,27,21,44,46,11,0,0,467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlphaTauri,17,15,13,-23,17,0,1,20,6,20,5,8,18,36,-12,-4,15,-4,34,42,31,26,27,0,0,308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williams,25,-16,-5,-15,1,0,1,5,-2,35,19,9,21,9,20,19,-35,-10,29,20,2,7,12,0,0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfa Romeo,31,7,26,-10,8,0,22,19,11,16,0,6,26,4,12,-8,-10,39,15,14,-31,12,13,0,0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haas,12,13,18,17,15,0,7,17,4,14,-18,10,23,26,0,18,15,6,30,-7,-19,12,2,0,0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,