Name,SeasonStartPrice,YesterdaysPrice,CurrentPrice,CurrentSentiment,AveragePointsPerMillion,CurrentPointsPerMillion,PriceChangeFromStart,,ChangeName,ChangeOrder,,ChangeName2,ChangeOrder2,,,PriceChange,,,To U,To K,,LastRacePrice,Diff,To N,,Average Points,CurrentPoints
Hamilton,25.3,25.3,25.3,18,0.91,20.00,+0.0,,Hamilton,0.0,,Hamilton,+0.0,+20.00,1,0.0,,0.003,0.0030,0.003,,25.3,0.0,0.0030,,23.00,506
Russell,20.2,20.2,20.2,20,0.86,19.01,+0.0,,Russell,0.0,,Russell,+0.0,+19.01,2,0.0,,0.0029,0.0029,0.0029,,20.2,0.0,0.0029,,17.45,384
Leclerc,23.5,23.5,23.5,28,0.65,14.26,+0.0,,Leclerc,0.0,,Leclerc,+0.0,+14.26,3,0.0,,0.0028,0.0028,0.0028,,23.5,0.0,0.0028,,15.23,335
Sainz,20.4,20.4,20.4,24,0.88,19.31,+0.0,,Sainz,0.0,,Sainz,+0.0,+19.31,4,0.0,,0.0027,0.0027,0.0027,,20.4,0.0,0.0027,,17.91,394
Verstappen,30.0,30.0,30.0,63,1.54,33.80,+0.0,,Verstappen,0.0,,Verstappen,+0.0,+33.80,5,0.0,,0.0026,0.0026,0.0026,,30.0,0.0,0.0026,,46.09,1014
Perez,20.8,20.8,20.8,35,1.27,27.84,+0.0,,Perez,0.0,,Perez,+0.0,+27.84,6,0.0,,0.0025,0.0025,0.0025,,20.8,0.0,0.0025,,26.32,579
Norris,19.8,19.8,19.8,32,1.01,22.12,+0.0,,Norris,0.0,,Norris,+0.0,+22.12,7,0.0,,0.0024,0.0024,0.0024,,19.8,0.0,0.0024,,19.91,438
Piastri,15.4,15.4,15.4,24,0.82,18.12,+0.0,,Piastri,0.0,,Piastri,+0.0,+18.12,8,0.0,,0.0023,0.0023,0.0023,,15.4,0.0,0.0023,,12.68,279
Alonso,15.8,15.8,15.8,66,1.16,25.51,+0.0,,Alonso,0.0,,Alonso,+0.0,+25.51,9,0.0,,0.0022,0.0022,0.0022,,15.8,0.0,0.0022,,18.32,403
Stroll,14.0,14.0,14.0,21,0.75,16.50,+0.0,,Stroll,0.0,,Stroll,+0.0,+16.50,10,0.0,,0.0021,0.0021,0.0021,,14.0,0.0,0.0021,,10.50,231
Gasly,14.5,14.5,14.5,27,0.72,15.86,+0.0,,Gasly,0.0,,Gasly,+0.0,+15.86,11,0.0,,0.002,0.0020,0.002,,14.5,0.0,0.0020,,10.45,230
Ocon,13.5,13.5,13.5,10,0.40,8.89,+0.0,,Ocon,0.0,,Ocon,+0.0,+8.89,12,0.0,,0.0019,0.0019,0.0019,,13.5,0.0,0.0019,,5.45,120
Tsunoda,9.4,9.4,9.4,16,0.77,17.02,+0.0,,Tsunoda,0.0,,Tsunoda,+0.0,+17.02,13,0.0,,0.0018,0.0018,0.0018,,9.4,0.0,0.0018,,7.27,160
Ricciardo,5.5,5.5,5.5,12,0.74,16.36,+0.0,,Ricciardo,0.0,,Ricciardo,+0.0,+16.36,14,0.0,,0.0017,0.0017,0.0017,,5.5,0.0,0.0017,,4.09,90
Albon,11.3,11.3,11.3,18,0.51,11.15,+0.0,,Albon,0.0,,Albon,+0.0,+11.15,15,0.0,,0.0016,0.0016,0.0016,,11.3,0.0,0.0016,,5.73,126
Sargeant,5.8,5.8,5.8,10,-0.13,-2.93,+0.0,,Sargeant,0.0,,Sargeant,+0.0,-2.93,16,0.0,,0.0015,0.0015,0.0015,,5.8,0.0,0.0015,,-0.77,-17
Bottas,9.6,9.6,9.6,17,0.20,4.48,+0.0,,Bottas,0.0,,Bottas,+0.0,+4.48,17,0.0,,0.0014,0.0014,0.0014,,9.6,0.0,0.0014,,1.95,43
Zhou,7.7,7.7,7.7,16,0.80,17.53,+0.0,,Zhou,0.0,,Zhou,+0.0,+17.53,18,0.0,,0.0013,0.0013,0.0013,,7.7,0.0,0.0013,,6.14,135
Magnussen,9.6,9.6,9.6,13,0.42,9.27,+0.0,,Magnussen,0.0,,Magnussen,+0.0,+9.27,19,0.0,,0.0012,0.0012,0.0012,,9.6,0.0,0.0012,,4.05,89
Hulkenberg,6.2,6.2,6.2,23,0.43,9.52,+0.0,,Hulkenberg,0.0,,Hulkenberg,+0.0,+9.52,20,0.0,,0.0011,0.0011,0.0011,,6.2,0.0,0.0011,,2.68,59
Mercedes,26.0,26.0,26.0,13,1.85,40.77,+0.0,,Mercedes,0.0,,Mercedes,+0.0,+40.77,21,0.0,,0.001,0.0010,0.001,,26,0.0,0.0010,,48.2,1060
Ferrari,25.0,25.0,25.0,23,1.83,40.28,+0.0,,Ferrari,0.0,,Ferrari,+0.0,+40.28,22,0.0,,0.0009,0.0009,0.0009,,25,0.0,0.0009,,45.8,1007
Red Bull,29.7,29.7,29.7,53,2.83,62.19,+0.0,,Red Bull,0.0,,Red Bull,+0.0,+62.19,23,0.0,,0.0008,0.0008,0.0008,,29.7,0.0,0.0008,,84.0,1847
Mclaren,17.1,17.1,17.1,24,2.39,52.57,+0.0,,Mclaren,0.0,,Mclaren,+0.0,+52.57,24,0.0,,0.0007,0.0007,0.0007,,17.1,0.0,0.0007,,40.9,899
Aston Martin,13.4,13.4,13.4,58,2.57,56.49,+0.0,,Aston Martin,0.0,,Aston Martin,+0.0,+56.49,25,0.0,,0.0006,0.0006,0.0006,,13.4,0.0,0.0006,,34.4,757
Alpine,14.2,14.2,14.2,9,1.49,32.89,+0.0,,Alpine,0.0,,Alpine,+0.0,+32.89,26,0.0,,0.0005,0.0005,0.0005,,14.2,0.0,0.0005,,21.2,467
AlphaTauri,8.7,8.7,8.7,5,1.61,35.40,+0.0,,AlphaTauri,0.0,,AlphaTauri,+0.0,+35.40,27,0.0,,0.0004,0.0004,0.0004,,8.7,0.0,0.0004,,14.0,308
Williams,7.8,7.8,7.8,5,0.88,19.36,+0.0,,Williams,0.0,,Williams,+0.0,+19.36,28,0.0,,0.0003,0.0003,0.0003,,7.8,0.0,0.0003,,6.9,151
Alfa Romeo,6.6,6.6,6.6,6,1.53,33.64,+0.0,,Alfa Romeo,0.0,,Alfa Romeo,+0.0,+33.64,29,0.0,,0.0002,0.0002,0.0002,,6.6,0.0,0.0002,,10.1,222
Haas,7.2,7.2,7.2,5,1.36,29.86,+0.0,,Haas,0.0,,Haas,+0.0,+29.86,30,0.0,,0.0001,0.0001,0.0001,,7.2,0.0,0.0001,,9.8,215
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis,V,W,X,Y,Z,AA,,,,,,,,,Analysis,B,,,,,,AE,,,,,