,constructorResultsId,raceId,constructorId,points,status
11950,16450,1074,6,44.0,\N
11951,16451,1074,131,27.0,\N
11952,16452,1074,210,10.0,\N
11953,16453,1074,51,9.0,\N
11954,16454,1074,214,8.0,\N
11955,16455,1074,213,4.0,\N
11956,16456,1074,117,0.0,\N
11957,16457,1074,3,0.0,\N
11958,16458,1074,1,0.0,\N
11959,16459,1074,9,0.0,\N
11960,16460,1075,9,37.0,\N
11961,16461,1075,6,34.0,\N
11962,16462,1075,131,11.0,\N
11963,16463,1075,214,8.0,\N
11964,16464,1075,1,6.0,\N
11965,16465,1075,213,4.0,\N
11966,16466,1075,210,2.0,\N
11967,16467,1075,51,0.0,\N
11968,16468,1075,117,0.0,\N
11969,16469,1075,3,0.0,\N
11970,16470,1076,6,26.0,\N
11971,16471,1076,9,18.0,\N
11972,16472,1076,131,27.0,\N
11973,16473,1076,1,18.0,\N
11974,16474,1076,214,6.0,\N
11975,16475,1076,51,4.0,\N
11976,16476,1076,213,2.0,\N
11977,16477,1076,3,1.0,\N
11978,16478,1076,117,0.0,\N
11979,16479,1076,210,0.0,\N
11980,16480,1077,9,58.0,\N
11981,16481,1077,1,22.0,\N
11982,16482,1077,131,12.0,\N
11983,16483,1077,51,12.0,\N
11984,16484,1077,6,20.0,\N
11985,16485,1077,213,6.0,\N
11986,16486,1077,117,5.0,\N
11987,16487,1077,210,3.0,\N
11988,16488,1077,3,0.0,\N
11989,16489,1077,214,0.0,\N
11990,16490,1078,9,38.0,\N
11991,16491,1078,6,33.0,\N
11992,16492,1078,131,18.0,\N
11993,16493,1078,51,6.0,\N
11994,16494,1078,214,4.0,\N
11995,16495,1078,3,2.0,\N
11996,16496,1078,117,1.0,\N
11997,16497,1078,213,0.0,\N
11998,16498,1078,1,0.0,\N
11999,16499,1078,210,0.0,\N
12000,16500,1079,9,44.0,\N
12001,16501,1079,131,25.0,\N
12002,16502,1079,6,12.0,\N
12003,16503,1079,51,8.0,\N
12004,16504,1079,214,8.0,\N
12005,16505,1079,1,4.0,\N
12006,16506,1079,213,1.0,\N
12007,16507,1079,117,0.0,\N
12008,16508,1079,210,0.0,\N
12009,16509,1079,3,0.0,\N
12010,16510,1080,9,40.0,\N
12011,16511,1080,6,30.0,\N
12012,16512,1080,131,14.0,\N
12013,16513,1080,1,9.0,\N
12014,16514,1080,214,6.0,\N
12015,16515,1080,51,2.0,\N
12016,16516,1080,117,1.0,\N
12017,16517,1080,213,0.0,\N
12018,16518,1080,3,0.0,\N
12019,16519,1080,210,0.0,\N
12020,16520,1081,9,44.0,\N
12021,16521,1081,131,27.0,\N
12022,16522,1081,213,10.0,\N
12023,16523,1081,117,8.0,\N
12024,16524,1081,214,7.0,\N
12025,16525,1081,1,6.0,\N
12026,16526,1081,51,0.0,\N
12027,16527,1081,3,0.0,\N
12028,16528,1081,210,0.0,\N
12029,16529,1081,6,0.0,\N
12030,16530,1082,9,25.0,\N
12031,16531,1082,6,29.0,\N
12032,16532,1082,131,27.0,\N
12033,16533,1082,214,10.0,\N
12034,16534,1082,51,10.0,\N
12035,16535,1082,117,1.0,\N
12036,16536,1082,1,0.0,\N
12037,16537,1082,3,0.0,\N
12038,16538,1082,213,0.0,\N
12039,16539,1082,210,0.0,\N
12040,16540,1083,6,37.0,\N
12041,16541,1083,9,24.0,\N
12042,16542,1083,131,16.0,\N
12043,16543,1083,214,10.0,\N
12044,16544,1083,1,8.0,\N
12045,16545,1083,210,5.0,\N
12046,16546,1083,117,2.0,\N
12047,16547,1083,3,0.0,\N
12048,16548,1083,213,0.0,\N
12049,16549,1083,51,0.0,\N
12050,16550,1084,6,38.0,\N
12051,16551,1084,9,31.0,\N
12052,16552,1084,131,33.0,\N
12053,16553,1084,214,14.0,\N
12054,16554,1084,210,14.0,\N
12055,16555,1084,1,8.0,\N
12056,16556,1084,51,0.0,\N
12057,16557,1084,3,0.0,\N
12058,16558,1084,117,0.0,\N
12059,16559,1084,213,0.0,\N
12060,16560,1085,9,37.0,\N
12061,16561,1085,131,33.0,\N
12062,16562,1085,6,11.0,\N
12063,16563,1085,214,12.0,\N
12064,16564,1085,1,8.0,\N
12065,16565,1085,117,1.0,\N
12066,16566,1085,213,0.0,\N
12067,16567,1085,3,0.0,\N
12068,16568,1085,51,0.0,\N
12069,16569,1085,210,0.0,\N
12070,16570,1086,9,35.0,\N
12071,16571,1086,131,34.0,\N
12072,16572,1086,6,20.0,\N
12073,16573,1086,1,6.0,\N
12074,16574,1086,214,6.0,\N
12075,16575,1086,117,1.0,\N
12076,16576,1086,213,0.0,\N
12077,16577,1086,51,0.0,\N
12078,16578,1086,210,0.0,\N
12079,16579,1086,3,0.0,\N
12080,16580,1087,9,44.0,\N
12081,16581,1087,6,23.0,\N
12082,16582,1087,131,12.0,\N
12083,16583,1087,214,16.0,\N
12084,16584,1087,117,4.0,\N
12085,16585,1087,213,2.0,\N
12086,16586,1087,3,1.0,\N
12087,16587,1087,1,0.0,\N
12088,16588,1087,51,0.0,\N
12089,16589,1087,210,0.0,\N
12090,16590,1088,9,36.0,\N
12091,16591,1088,131,30.0,\N
12092,16592,1088,6,19.0,\N
12093,16593,1088,214,10.0,\N
12094,16594,1088,1,6.0,\N
12095,16595,1088,117,1.0,\N
12096,16596,1088,213,0.0,\N
12097,16597,1088,3,0.0,\N
12098,16598,1088,210,0.0,\N
12099,16599,1088,51,0.0,\N
12100,16600,1089,9,34.0,\N
12101,16601,1089,6,30.0,\N
12102,16602,1089,131,25.0,\N
12103,16603,1089,1,6.0,\N
12104,16604,1089,213,4.0,\N
12105,16605,1089,3,2.0,\N
12106,16606,1089,51,1.0,\N
12107,16607,1089,214,0.0,\N
12108,16608,1089,210,0.0,\N
12109,16609,1089,117,0.0,\N
12110,16610,1091,9,31.0,\N
12111,16611,1091,6,33.0,\N
12112,16612,1091,1,22.0,\N
12113,16613,1091,117,12.0,\N
12114,16614,1091,131,2.0,\N
12115,16615,1091,213,1.0,\N
12116,16616,1091,51,0.0,\N
12117,16617,1091,210,0.0,\N
12118,16618,1091,214,0.0,\N
12119,16619,1091,3,0.0,\N
12120,16620,1092,9,43.0,\N
12121,16621,1092,6,15.0,\N
12122,16622,1092,214,18.0,\N
12123,16623,1092,131,14.0,\N
12124,16624,1092,117,8.0,\N
12125,16625,1092,3,2.0,\N
12126,16626,1092,1,1.0,\N
12127,16627,1092,213,0.0,\N
12128,16628,1092,210,0.0,\N
12129,16629,1092,51,0.0,\N
12130,16630,1093,9,37.0,\N
12131,16631,1093,131,29.0,\N
12132,16632,1093,6,15.0,\N
12133,16633,1093,1,8.0,\N
12134,16634,1093,117,4.0,\N
12135,16635,1093,210,2.0,\N
12136,16636,1093,213,1.0,\N
12137,16637,1093,214,6.0,\N
12138,16638,1093,51,0.0,\N
12139,16639,1093,3,0.0,\N
12140,16640,1094,9,40.0,\N
12141,16641,1094,131,31.0,\N
12142,16642,1094,6,18.0,\N
12143,16643,1094,1,8.0,\N
12144,16644,1094,214,4.0,\N
12145,16645,1094,51,1.0,\N
12146,16646,1094,213,0.0,\N
12147,16647,1094,3,0.0,\N
12148,16648,1094,117,0.0,\N
12149,16649,1094,210,0.0,\N
12150,16650,1095,131,58.0,\N
12151,16651,1095,6,37.0,\N
12152,16652,1095,214,14.0,\N
12153,16653,1095,9,23.0,\N
12154,16654,1095,51,2.0,\N
12155,16655,1095,117,1.0,\N
12156,16656,1095,210,1.0,\N
12157,16657,1095,213,0.0,\N
12158,16658,1095,3,0.0,\N
12159,16659,1095,1,2.0,\N
12160,16660,1096,9,40.0,\N
12161,16661,1096,6,30.0,\N
12162,16662,1096,131,10.0,\N
12163,16663,1096,1,11.0,\N
12164,16664,1096,214,6.0,\N
12165,16665,1096,117,5.0,\N
12166,16666,1096,213,0.0,\N
12167,16667,1096,51,0.0,\N
12168,16668,1096,3,0.0,\N
12169,16669,1096,210,0.0,\N
12170,16670,1098,9,43.0,\N
12171,16671,1098,117,23.0,\N
12172,16672,1098,6,12.0,\N
12173,16673,1098,131,16.0,\N
12174,16674,1098,51,4.0,\N
12175,16675,1098,214,2.0,\N
12176,16676,1098,3,1.0,\N
12177,16677,1098,213,0.0,\N
12178,16678,1098,210,0.0,\N
12179,16679,1098,1,0.0,\N
12180,16680,1099,9,44.0,\N
12181,16681,1099,131,22.0,\N
12182,16682,1099,117,15.0,\N
12183,16683,1099,6,14.0,\N
12184,16684,1099,214,6.0,\N
12185,16685,1099,210,1.0,\N
12186,16686,1099,213,0.0,\N
12187,16687,1099,51,0.0,\N
12188,16688,1099,1,0.0,\N
12189,16689,1099,3,0.0,\N
12190,16690,1100,9,36.0,\N
12191,16691,1100,131,18.0,\N
12192,16692,1100,117,27.0,\N
12193,16693,1100,1,12.0,\N
12194,16694,1100,210,6.0,\N
12195,16695,1100,51,2.0,\N
12196,16696,1100,213,1.0,\N
12197,16697,1100,6,0.0,\N
12198,16698,1100,214,0.0,\N
12199,16699,1100,3,0.0,\N
12200,16700,1101,9,57.0,\N
12201,16701,1101,6,36.0,\N
12202,16702,1101,117,22.0,\N
12203,16703,1101,131,20.0,\N
12204,16704,1101,1,2.0,\N
12205,16705,1101,213,1.0,\N
12206,16706,1101,3,0.0,\N
12207,16707,1101,210,0.0,\N
12208,16708,1101,214,0.0,\N
12209,16709,1101,51,0.0,\N
12210,16710,1102,9,44.0,\N
12211,16711,1102,117,15.0,\N
12212,16712,1102,131,20.0,\N
12213,16713,1102,6,16.0,\N
12214,16714,1102,214,6.0,\N
12215,16715,1102,210,1.0,\N
12216,16716,1102,213,0.0,\N
12217,16717,1102,51,0.0,\N
12218,16718,1102,3,0.0,\N
12219,16719,1102,1,0.0,\N
12220,16720,1104,9,25.0,\N
12221,16721,1104,117,18.0,\N
12222,16722,1104,214,21.0,\N
12223,16723,1104,131,23.0,\N
12224,16724,1104,6,12.0,\N
12225,16725,1104,1,3.0,\N
12226,16726,1104,51,0.0,\N
12227,16727,1104,213,0.0,\N
12228,16728,1104,3,0.0,\N
12229,16729,1104,210,0.0,\N
12230,16730,1105,9,38.0,\N
12231,16731,1105,131,33.0,\N
12232,16732,1105,6,10.0,\N
12233,16733,1105,117,14.0,\N
12234,16734,1105,214,5.0,\N
12235,16735,1105,51,2.0,\N
12236,16736,1105,213,0.0,\N
12237,16737,1105,1,0.0,\N
12238,16738,1105,210,0.0,\N
12239,16739,1105,3,0.0,\N
12240,16740,1106,9,34.0,\N
12241,16741,1106,117,20.0,\N
12242,16742,1106,131,15.0,\N
12243,16743,1106,6,22.0,\N
12244,16744,1106,3,6.0,\N
12245,16745,1106,214,4.0,\N
12246,16746,1106,51,1.0,\N
12247,16747,1106,1,0.0,\N
12248,16748,1106,213,0.0,\N
12249,16749,1106,210,0.0,\N
12250,16750,1107,9,56.0,\N
12251,16751,1107,6,32.0,\N
12252,16752,1107,1,12.0,\N
12253,16753,1107,117,21.0,\N
12254,16754,1107,131,11.0,\N
12255,16755,1107,214,3.0,\N
12256,16756,1107,3,0.0,\N
12257,16757,1107,51,0.0,\N
12258,16758,1107,213,0.0,\N
12259,16759,1107,210,3.0,\N
12260,16760,1108,9,34.0,\N
12261,16761,1108,1,30.0,\N
12262,16762,1108,131,25.0,\N
12263,16763,1108,117,6.0,\N
12264,16764,1108,3,4.0,\N
12265,16765,1108,6,3.0,\N
12266,16766,1108,51,0.0,\N
12267,16767,1108,210,0.0,\N
12268,16768,1108,213,0.0,\N
12269,16769,1108,214,0.0,\N
12270,16770,1109,9,41.0,\N
12271,16771,1109,1,28.0,\N
12272,16772,1109,131,20.0,\N
12273,16773,1109,6,10.0,\N
12274,16774,1109,117,3.0,\N
12275,16775,1109,3,0.0,\N
12276,16776,1109,51,0.0,\N
12277,16777,1109,213,0.0,\N
12278,16778,1109,210,0.0,\N
12279,16779,1109,214,0.0,\N
12280,16780,1110,9,51.0,\N
12281,16781,1110,6,24.0,\N
12282,16782,1110,131,24.0,\N
12283,16783,1110,117,12.0,\N
12284,16784,1110,1,16.0,\N
12285,16785,1110,214,10.0,\N
12286,16786,1110,213,1.0,\N
12287,16787,1110,51,0.0,\N
12288,16788,1110,3,0.0,\N
12289,16789,1110,210,0.0,\N
